cine_index_1based,cine_frame_number,time_s,time_from_trigger_s,threshold_enhanced,area_px,area_fraction,perimeter_px,perimeter_density,euler_chi,euler_density,perimeter_mm,area_mm2,roi_area_mm2,perimeter_mm_per_mm2
1,-7600,0.0,-1.0,49.303340911865234,97970,0.0651860900854864,35468.86172031285,0.0235998409240581,-222,-0.0001477116668263,608.7223565513151,28.856065193571947,442.67212768444114,1.3751088412443326
3,-7598,0.0002631578947368,-0.9997368421052631,49.676002502441406,104261,0.0693719193467684,38327.790652500975,0.0255020803741103,-186,-0.0001237584235572,657.7877584956248,30.709015138787432,442.67212768444114,1.485947990302495
5,-7596,0.0005263157894736,-0.9994736842105264,51.56575012207031,103677,0.0689833445115135,36618.17943342519,0.0243645600011611,-126,-8.383635144198524e-05,628.4471335195944,30.537003889700507,442.67212768444114,1.4196672756582114
7,-7594,0.0007894736842105,-0.9992105263157894,51.794071197509766,117511,0.0781880436055486,42225.26078197357,0.0280953317670397,-410,-0.0002728008261207,724.6767728798167,34.61166762235208,442.67212768444114,1.6370508273708224
9,-7592,0.0010526315789473,-0.9989473684210526,53.70038986206055,132254,0.0879975620921295,44564.42521217388,0.0296517366182371,-246,-0.0001636804956724,764.821892154876,38.954068042366686,442.67212768444114,1.7277389840547615
11,-7590,0.0013157894736842,-0.9986842105263158,56.61708831787109,125544,0.0835329436939094,43947.42521217388,0.0292412046433188,-178,-0.0001184354806085,754.2328381008219,36.97770591672754,442.67212768444114,1.703818223311491
13,-7588,0.001578947368421,-0.998421052631579,55.2324447631836,124705,0.0829747000521648,43917.68109219035,0.0292214138616023,-246,-0.0001636804956724,753.7223646902938,36.73058701607012,442.67212768444114,1.7026650596524227
15,-7586,0.0018421052631578,-0.998157894736842,52.22126770019531,123901,0.0824397442858207,44040.28621461173,0.0293029913705857,-296,-0.0001969488891018,755.8265336832013,36.49377700876552,442.67212768444114,1.7074183948215333
17,-7584,0.0021052631578947,-0.9978947368421052,48.5479736328125,129048,0.0858643927054389,45116.72586081227,0.0300192197236409,-432,-0.0002874389192296,774.3005654490754,38.009773411249085,442.67212768444114,1.7491513854719936
19,-7582,0.0023684210526315,-0.9976315789473684,49.338523864746094,131094,0.0872257353645683,47168.74519679603,0.0313845674555241,-525,-0.0003493181310082,809.517654053121,38.61240186267348,442.67212768444114,1.8287070800856604
21,-7580,0.0026315789473684,-0.9973684210526316,52.727352142333984,112596,0.0749177605314426,41650.56525575656,0.0277129478296741,-113,-7.518656915035184e-05,714.8137550650112,33.16400445580715,442.67212768444114,1.6147701885007004
23,-7578,0.0028947368421052,-0.9971052631578948,52.93855285644531,111310,0.0740620974524395,40784.322615069446,0.0271365778101608,-169,-0.0001124471697912,699.9471583937593,32.78522626004382,442.67212768444114,1.5811864235841764
